PRODUCT_NAME,ADDITIVES_EN,ADDITIVES_EN_encoded,ALLERGENS,ALLERGENS_encoded,CALCIUM_100G,CARBOHYDRATES_100G,CARBON_FOOTPRINT_100G,CHOLESTEROL_100G,CREATOR,CREATOR_encoded,ECOSCORE_GRADE,ECOSCORE_GRADE_encoded,ECOSCORE_SCORE,ENERGY_100G,ENERGY_FROM_FAT_100G,ENERGY_KCAL_100G,ENERGY_KJ_100G,FAT_100G,FIBER_100G,FOOD_GROUPS_EN,FOOD_GROUPS_EN_encoded,FRUITS_VEGETABLES_NUTS_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_FROM_INGREDIENTS_100G,INGREDIENTS_TAGS,INGREDIENTS_TAGS_encoded,INGREDIENTS_TEXT,INGREDIENTS_TEXT_encoded,INSOLUBLE_FIBER_100G,IRON_100G,LACTOSE_100G,MAGNESIUM_100G,MONOUNSATURATED_FAT_100G,NUTRISCORE_GRADE,NUTRISCORE_GRADE_encoded,NUTRISCORE_SCORE,NUTRITION_SCORE_FR_100G,OMEGA_3_FAT_100G,PHOSPHORUS_100G,PHYLLOQUINONE_100G,POLYUNSATURATED_FAT_100G,POTASSIUM_100G,PROTEINS_100G,SALT_100G,SATURATED_FAT_100G,SODIUM_100G,SUGARS_100G,TRACES_EN,TRACES_EN_encoded,TRANS_FAT_100G,VITAMIN_A_100G,VITAMIN_B12_100G,VITAMIN_B2_100G,VITAMIN_B6_100G,VITAMIN_C_100G,VITAMIN_D_100G,VITAMIN_K_100G
TRADITIONAL SEITAN,,0.0,,0.0,0.0,0.08297837837837838,0.0,0.0,KILIWEB,0.4761904761904762,UNKNOWN,1.0,0.0,0.1550039609189332,0.0,0.15508386740331492,0.0,0.022784415584415584,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.28895764705882354,0.02038011566666737,0.0,0.020380115666667375,0.0258,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACKED TOFU,,0.0,,0.0,0.0,0.10920010920010947,0.0,0.0,KILIWEB,0.4761904761904762,UNKNOWN,1.0,0.0,0.2009506205439662,0.0,0.20090406830738122,0.0,0.11806375442739092,0.1010101010101,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.2020202020202,0.013737373737374076,0.0352360817477093,0.013737373737374076,0.11883541295305881,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRADITIONAL SEITAN,,0.0,,0.0,0.0,0.09538918918918919,0.0,0.0,KILIWEB,0.4761904761904762,UNKNOWN,1.0,0.0,0.16899920781621336,0.0,0.1689958011049724,0.0,0.04583636363636364,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.30449882352941177,0.022666666666667452,0.013679069767441859,0.022666666666667456,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN FISH TOFU,,0.0,,0.0,0.0,0.08378378120628514,0.0,0.0,KILIWEB,0.4761904761904762,UNKNOWN,1.0,0.0,0.2872986532875627,0.0,0.28729281767955805,0.0,0.27272727272727276,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.12941176470588234,0.027200000000000942,0.16279069767441862,0.027200000000000942,0.14999999719507648,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDAMAME + TOFU PONZU BOWL WITH CABBAGE AND PICKLED GINGER,"E129 - ALLURA RED,E202 - POTASSIUM SORBATE,E330 - CITRIC ACID",0.015151515151515152,"EN:GLUTEN,EN:SOYBEANS",0.6382978723404256,0.0005463414634146341,0.15851351351351353,0.0,0.0,ORG-DATABASE-USDA,0.6952380952380953,UNKNOWN,1.0,0.0,0.12041193556905203,0.0,0.12044198895027625,0.0,0.054415584415584424,0.0,,0.0,0.0,0.0,0.0,"EN:TOFU,EN:CILANTRO-LIME-RICE,EN:ROASTED-EDAMAME-SALAD,EN:PONZU-SAUCE,EN:GINGER,EN:CONDIMENT,EN:SPICE,EN:RED-CABBAGE,EN:VEGETABLE,EN:CABBAGE,EN:SAVOY-CABBAGE,EN:SPRING-ONION,EN:ROOT-VEGETABLE,EN:ONION,EN:WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:E516,EN:E509,EN:PARBOILED-RICE,EN:RICE,EN:CORIANDER-LEAF,EN:HERB,EN:CORIANDER,EN:CANOLA-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:RAPESEED-OIL,EN:LIME-JUICE,EN:FRUIT,EN:FRUIT-JUICE,EN:SALT,EN:EDAMAME,EN:CARROT,EN:RED-BELL-PEPPER,EN:BELL-PEPPER,EN:SOYA-OIL,EN:VEGETABLE-OIL,EN:RICE-VINEGAR,EN:VINEGAR,EN:SOY-SAUCE,EN:SAUCE,EN:SWEET-SAKE,EN:DISTILLED-VINEGAR,EN:E330,EN:BONITO-EXTRACT,EN:KOMBU,EN:ALGAE,EN:SEAWEED,EN:GLUCOSE,EN:ADDED-SUGAR,EN:MONOSACCHARIDE,EN:CITRUS-FRUIT-JUICE,EN:CITRUS-FRUIT,EN:E211,EN:NATURAL-FLAVOURING,EN:FLAVOURING,EN:SUGAR,EN:DISACCHARIDE,EN:E202,EN:E129,EN:LONG-GRAIN-PARBOILED-RICE-ENRICHED-WITH-IRON,EN:E375,EN:THIAMINE,EN:FOLIC-ACID,EN:FOLATE,EN:WHEAT,EN:CEREAL,EN:ORANGE,EN:LEMON,EN:LIME-JUICE-CONCENTRATE,EN:PRESERVATIVE,EN:FERRIC-ORTHOPHOSPHATE,EN:MINERALS,EN:IRON,EN:THIAMIN-MONONITRATE,EN:THIAMIN",0.3861892583120205,"TOFU [WATER, SOYBEANS, CALCIUM SULFATE, CALCIUM CHLORIDE], CILANTRO LIME RICE [WATER, PARBOILED RICE (LONG GRAIN PARBOILED RICE ENRICHED WITH IRON (FERRIC ORTHOPHOSPHATE), NIACIN, THIAMINE (THIAMINE MONONITRATE), FOLIC ACID), CILANTRO, CANOLA OIL, LIME JUICE, SALT], ROASTED EDAMAME SALAD [ROASTED EDAMAME, CARROTS, ROASTED RED BELL PEPPERS, SOYBEAN OIL, RICE VINEGAR, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SALT], PONZU SAUCE [SOY SAUCE, WATER, SWEET SAKE, DISTILLED VINEGAR, CITRIC ACID, BONITO EXTRACT, KOMBU EXTRACT, GLUCOSE, CITRUS JUICE (ORANGE, LEMON AND LIME JUICE FROM CONCENTRATES), SODIUM BENZOATE AND NATURAL FLAVOR], PICKLED GINGER [GINGER, WATER, RICE VINEGAR, SUGAR, SALT, POTASSIUM SORBATE (AS A PRESERVATIVE), RED #40], RED CABBAGE, GREEN CABBAGE, GREEN ONION.",0.7061728395061728,0.0,0.003500000000000001,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.07552941176470589,0.02028666666666737,0.0065116279069767444,0.02028666666666737,0.041176470588235294,,0.0,0.0,0.013598834385624087,0.0,0.0,0.0,0.3713235294117647,0.0,0.0
ORGANIC TOFU,,0.0,,0.0,0.0,0.032175675675675676,0.0,0.0,KILIWEB,0.4761904761904762,B,0.2,0.6311475409836066,0.07895431740163718,0.0,0.07892662983425415,0.0,0.046381818181818184,0.0,"CEREALS AND POTATOES,LEGUMES",0.3333333333333333,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.08403411764705883,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAKED TERIYAKI SUPER FIRM TOFU,,0.0,,0.0,0.0,0.08190008190008244,0.0,0.0,KILIWEB,0.4761904761904762,UNKNOWN,1.0,0.0,0.15632426722999737,0.0,0.15625871979462985,0.0,0.09182736455463768,0.1010101010101,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.16636957813428235,0.019461279461279943,0.0352360817477093,0.019461279461279943,0.11883541295305881,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDAMAME + TOFU PONZU BOWL WITH CABBAGE AND PICKLED GINGER,"E129 - ALLURA RED,E202 - POTASSIUM SORBATE,E330 - CITRIC ACID",0.015151515151515152,"EN:GLUTEN,EN:SOYBEANS",0.6382978723404256,0.000497560975609756,0.16932432432432432,0.0,0.0,ORG-DATABASE-USDA,0.6952380952380953,UNKNOWN,1.0,0.0,0.12701346712437286,0.0,0.1270718232044199,0.0,0.05649350649350649,0.0,,0.0,0.0,0.0,0.0,"EN:TOFU,EN:CILANTRO-LIME-RICE,EN:ROASTED-EDAMAME-SALAD,EN:PONZU-SAUCE,EN:GINGER,EN:CONDIMENT,EN:SPICE,EN:RED-CABBAGE,EN:VEGETABLE,EN:CABBAGE,EN:SAVOY-CABBAGE,EN:SPRING-ONION,EN:ROOT-VEGETABLE,EN:ONION,EN:WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:E516,EN:E509,EN:PARBOILED-RICE,EN:RICE,EN:CORIANDER-LEAF,EN:HERB,EN:CORIANDER,EN:CANOLA-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:RAPESEED-OIL,EN:LIME-JUICE,EN:FRUIT,EN:FRUIT-JUICE,EN:SALT,EN:EDAMAME,EN:CARROT,EN:RED-BELL-PEPPER,EN:BELL-PEPPER,EN:SOYA-OIL,EN:VEGETABLE-OIL,EN:RICE-VINEGAR,EN:VINEGAR,EN:SOY-SAUCE,EN:SAUCE,EN:SWEET-SAKE,EN:DISTILLED-VINEGAR,EN:E330,EN:BONITO-EXTRACT,EN:KOMBU,EN:ALGAE,EN:SEAWEED,EN:GLUCOSE,EN:ADDED-SUGAR,EN:MONOSACCHARIDE,EN:CITRUS-FRUIT-JUICE,EN:CITRUS-FRUIT,EN:E211,EN:NATURAL-FLAVOURING,EN:FLAVOURING,EN:SUGAR,EN:DISACCHARIDE,EN:E202,EN:E129,EN:LONG-GRAIN-PARBOILED-RICE-ENRICHED-WITH-IRON,EN:E375,EN:THIAMINE,EN:FOLIC-ACID,EN:FOLATE,EN:WHEAT,EN:CEREAL,EN:ORANGE,EN:LEMON,EN:LIME-JUICE-CONCENTRATE,EN:PRESERVATIVE,EN:FERRIC-ORTHOPHOSPHATE,EN:MINERALS,EN:IRON,EN:THIAMIN-MONONITRATE,EN:THIAMIN",0.3861892583120205,"TOFU (WATER, SOYBEANS, CALCIUM SULFATE, CALCIUM CHLORIDE), CILANTRO LIME RICE (WATER, PARBOILED RICE [LONG GRAIN PARBOILED RICE ENRICHED WITH IRON {FERRIC ORTHOPHOSPHATE}, NIACIN, THIAMINE {THIAMINE MONONITRATE}, FOLIC ACID], CILANTRO, CANOLA OIL, LIME JUICE, SALT), ROASTED EDAMAME SALAD (ROASTED EDAMAME, CARROTS, ROASTED RED BELL PEPPERS, SOYBEAN OIL, RICE VINEGAR, SOY SAUCE [WATER, WHEAT, SOYBEANS, SALT], SALT), PONZU SAUCE (SOY SAUCE, WATER, SWEET SAKE, DISTILLED VINEGAR, CITRIC ACID, BONITO EXTRACT, KOMBU EXTRACT, GLUCOSE, CITRUS JUICE [ORANGE, LEMON AND LIME JUICE FROM CONCENTRATES], SODIUM BENZOATE AND NATURAL FLAVOR), PICKLED GINGER (GINGER, WATER, RICE VINEGAR, SUGAR, SALT, POTASSIUM SORBATE [AS A PRESERVATIVE], RED #40), RED CABBAGE, GREEN CABBAGE, GREEN ONION.",0.6419753086419753,0.0,0.003833333333333334,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0691764705882353,0.01983333333333402,0.0060465116279069765,0.01983333333333402,0.037647058823529415,,0.0,0.0,0.012627489072365225,0.0,0.0,0.0,0.6764705882352942,0.0,0.0
PLANT KITCHEN ORGANIC SUPER FIRM TOFU,,0.0,,0.0,0.0,0.0,0.0,0.0,SWIPE-STUDIO,0.8761904761904763,UNKNOWN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WILDWOOD, SPROUTOFU, MEATLESS MEATBALLS, ORIGINAL","E330 - CITRIC ACID,E516 - CALCIUM SULPHATE",0.6212121212121212,,0.0,0.0003463414634146341,0.25432432432432434,0.0,0.0,USDA-NDB-IMPORT,0.9333333333333335,UNKNOWN,1.0,0.0,0.27277528386585687,0.0,0.2729281767955801,0.0,0.19857142857142857,0.23500000000000001,"FISH‚ MEAT‚ EGGS,MEAT,MEAT OTHER THAN POULTRY",0.75,0.0,0.0,0.0,"EN:NATURAL-SOY-PROTEIN,EN:TOFU,EN:WATER,EN:CANOLA,EN:VEGETABLE,EN:ROOT-VEGETABLE,EN:RAPESEED,EN:SUNFLOWER-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:VEGETABLE-OIL,EN:ONION,EN:TOMATO-CONCENTRATE,EN:TOMATO,EN:CARROT,EN:BROWN-RICE-FLOUR,EN:FLOUR,EN:RICE,EN:RICE-FLOUR,EN:PARSLEY,EN:HERB,EN:CORN-FLOUR,EN:CEREAL,EN:CORN,EN:YEAST-EXTRACT,EN:YEAST,EN:SEA-SALT,EN:SALT,EN:TAPIOCA,EN:STARCH,EN:GARLIC,EN:CULTURED-CANE-SUGAR,EN:VEGETABLE-FIBER,EN:FIBER,EN:SPICE,EN:CONDIMENT,EN:BASIL,EN:LOW-FAT-SOY-FLOUR,EN:FILTERED-WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:NIGARI,EN:E511,EN:E516,EN:E330,EN:NATURAL-FIRMING-AGENT,EN:FIRMING-AGENT",0.15601023017902815,"NATURAL SOY PROTEIN (LOW FAT SOY FLOUR, WATER, SALT), TOFU (FILTERED WATER, SOYBEANS, NIGARI [MAGNESIUM CHLORIDE, A NATURAL FIRMING AGENT], CALCIUM SULFATE), WATER, CANOLA OR SUNFLOWER OIL, ONIONS, TOMATO PASTE (TOMATOES, CITRIC ACID), CARROTS, BROWN RICE FLOUR, PARSLEY, CORN FLOUR, YEAST EXTRACT, SEA SALT, TAPIOCA STARCH, GRANULATED GARLIC, CULTURED CANE SUGAR, VEGETABLE FIBER, SPICES, BASIL.",0.3234567901234568,0.0,0.008833333333333335,0.0,0.0,0.0,A,0.2,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.15223529411764705,0.025330000000000876,0.027441860465116277,0.02533000000000088,0.1038235294117647,,0.0,0.0,1.0,0.0,0.0,0.0,0.3897058823529412,0.0,0.0
