PRODUCT_NAME,ADDITIVES_EN,ADDITIVES_EN_encoded,ALCOHOL_100G,ALLERGENS,ALLERGENS_encoded,ALPHA_LINOLENIC_ACID_100G,CALCIUM_100G,CARBOHYDRATES_100G,CARBON_FOOTPRINT_100G,CARBON_FOOTPRINT_FROM_MEAT_OR_FISH_100G,CHOLESTEROL_100G,CREATOR,CREATOR_encoded,ECOSCORE_GRADE,ECOSCORE_GRADE_encoded,ECOSCORE_SCORE,ENERGY_100G,ENERGY_FROM_FAT_100G,ENERGY_KCAL_100G,ENERGY_KJ_100G,FAT_100G,FIBER_100G,FOOD_GROUPS_EN,FOOD_GROUPS_EN_encoded,FRUITS_VEGETABLES_NUTS_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_FROM_INGREDIENTS_100G,INGREDIENTS_TAGS,INGREDIENTS_TAGS_encoded,INGREDIENTS_TEXT,INGREDIENTS_TEXT_encoded,INSOLUBLE_FIBER_100G,IODINE_100G,IRON_100G,LACTOSE_100G,MAGNESIUM_100G,MALTODEXTRINS_100G,MONOUNSATURATED_FAT_100G,NUTRISCORE_GRADE,NUTRISCORE_GRADE_encoded,NUTRISCORE_SCORE,NUTRITION_SCORE_FR_100G,OMEGA_3_FAT_100G,OMEGA_6_FAT_100G,PANTOTHENIC_ACID_100G,PHOSPHORUS_100G,PHYLLOQUINONE_100G,POLYUNSATURATED_FAT_100G,POTASSIUM_100G,PROTEINS_100G,SALT_100G,SATURATED_FAT_100G,SODIUM_100G,STARCH_100G,SUCROSE_100G,SUGARS_100G,TRACES_EN,TRACES_EN_encoded,TRANS_FAT_100G,VITAMIN_A_100G,VITAMIN_B12_100G,VITAMIN_B1_100G,VITAMIN_B2_100G,VITAMIN_B6_100G,VITAMIN_B9_100G,VITAMIN_C_100G,VITAMIN_D_100G,VITAMIN_E_100G,VITAMIN_K_100G,VITAMIN_PP_100G,ZINC_100G
PALET SOJA À L'INDIENNE,,0.0,0.0,,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.10151865302079895,0.0,0.10151933701657458,0.0,0.07200000000000001,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08645833333333333,0.017407407407407406,0.015,0.017407407407407406,0.0,0.0,0.006944444444444444,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRADITIONAL SEITAN,,0.0,0.0,,0.0,0.0,0.0,0.010964999999999999,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.09689666556619347,0.0,0.09692741712707181,0.0,0.017544,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558479166666666,0.016650421296296295,0.0,0.016650421296296295,0.0,0.0,0.012183333333333332,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACKED TOFU,,0.0,0.0,,0.0,0.0,0.0,0.014430014430014465,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.1256190161769561,0.0,0.12556504269211324,0.0,0.09090909090909101,0.06966213862765516,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17887205387205207,0.011223344556677776,0.025252525252525,0.011223344556677776,0.0,0.0,0.05611672278338888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESCALOPES PANÉES DE SOJA,,0.0,0.0,,0.0,0.0,0.0,0.03214285714285714,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.1637504126774513,0.0,0.16367403314917126,0.0,0.11,0.16896551724137931,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333331,0.014259259259259258,0.018333333333333333,0.014259259259259258,0.0,0.0,0.006944444444444444,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRADITIONAL SEITAN,,0.0,0.0,,0.0,0.0,0.0,0.012605,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.10564542753383956,0.0,0.10562237569060774,0.0,0.035294,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26960833333333334,0.018518518518518517,0.009803333333333332,0.018518518518518517,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO SOJA BANANE PASSION,,0.0,0.0,,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.039286893364146584,0.0,0.0393646408839779,0.0,0.022000000000000002,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04270833333333333,0.001851851851851852,0.005,0.0018518518518518517,0.0,0.0,0.0625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPÉCIALITÉ AU SOJAT CHOCOLAT,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESCALOPES PANEES AU SOJA,,0.0,0.0,,0.0,0.0,0.0,0.03214285714285714,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.1637504126774513,0.0,0.16367403314917126,0.0,0.11,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333331,0.014259259259259258,0.018333333333333333,0.014259259259259258,0.0,0.0,0.006944444444444444,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WILDWOOD, SPROUTOFU, MEATLESS MEATBALLS, ORIGINAL","E330 - CITRIC ACID,E516 - CALCIUM SULPHATE",0.7614379084967321,0.0,,0.0,0.0,0.0003463414634146341,0.033607142857142856,0.0,0.0,0.0,USDA-NDB-IMPORT,0.9437751004016064,UNKNOWN,1.0,0.046875,0.17051832287883792,0.0,0.17058011049723756,0.0,0.1529,0.16206896551724137,"FISH‚ MEAT‚ EGGS,MEAT,MEAT OTHER THAN POULTRY",0.53125,0.0,0.0,0.0,"EN:NATURAL-SOY-PROTEIN,EN:TOFU,EN:WATER,EN:CANOLA,EN:VEGETABLE,EN:ROOT-VEGETABLE,EN:RAPESEED,EN:SUNFLOWER-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:VEGETABLE-OIL,EN:ONION,EN:TOMATO-CONCENTRATE,EN:TOMATO,EN:CARROT,EN:BROWN-RICE-FLOUR,EN:FLOUR,EN:RICE,EN:RICE-FLOUR,EN:PARSLEY,EN:HERB,EN:CORN-FLOUR,EN:CEREAL,EN:CORN,EN:YEAST-EXTRACT,EN:YEAST,EN:SEA-SALT,EN:SALT,EN:TAPIOCA,EN:STARCH,EN:GARLIC,EN:CULTURED-CANE-SUGAR,EN:VEGETABLE-FIBER,EN:FIBER,EN:SPICE,EN:CONDIMENT,EN:BASIL,EN:LOW-FAT-SOY-FLOUR,EN:FILTERED-WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:NIGARI,EN:E511,EN:E516,EN:E330,EN:NATURAL-FIRMING-AGENT,EN:FIRMING-AGENT",0.11051829268292683,"NATURAL SOY PROTEIN (LOW FAT SOY FLOUR, WATER, SALT), TOFU (FILTERED WATER, SOYBEANS, NIGARI [MAGNESIUM CHLORIDE, A NATURAL FIRMING AGENT], CALCIUM SULFATE), WATER, CANOLA OR SUNFLOWER OIL, ONIONS, TOMATO PASTE (TOMATOES, CITRIC ACID), CARROTS, BROWN RICE FLOUR, PARSLEY, CORN FLOUR, YEAST EXTRACT, SEA SALT, TAPIOCA STARCH, GRANULATED GARLIC, CULTURED CANE SUGAR, VEGETABLE FIBER, SPICES, BASIL.",0.6248226950354611,0.0,0.0,0.008833333333333334,0.0,0.0,0.0,0.0,A,0.2,0.27906976744186046,0.27906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13479166666666664,0.020694444444444442,0.019666666666666666,0.020694444444444442,0.0,0.0,0.049027777777777774,,0.0,0.0,7.72125e-07,0.0,0.0,0.0,0.0,0.0,0.3897058823529412,0.0,0.0,0.0,0.0,0.0
PLANT SPIRED ORGANIC CLASSIC BOLOGNESE WITH TOFU,,0.0,0.0,,0.0,0.0,0.0,0.012422360248447142,0.0,0.0,0.0,FOODVISOR,0.35341365461847385,UNKNOWN,1.0,0.046875,0.07213601848794982,0.0,0.0720634158059116,0.0,0.060869565217391,0.05997001499250345,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695625,0.01610305958132037,0.014492753623188333,0.01610305958132037,0.0,0.0,0.04830917874396111,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
