PRODUCT_NAME,ADDITIVES_EN,ADDITIVES_EN_encoded,ALCOHOL_100G,ALLERGENS,ALLERGENS_encoded,ALPHA_LINOLENIC_ACID_100G,ARACHIDIC_ACID_100G,ARACHIDONIC_ACID_100G,BEHENIC_ACID_100G,BIOTIN_100G,CAFFEINE_100G,CALCIUM_100G,CAPROIC_ACID_100G,CAPRYLIC_ACID_100G,CARBOHYDRATES_100G,CARBON_FOOTPRINT_100G,CARBON_FOOTPRINT_FROM_MEAT_OR_FISH_100G,CHLORIDE_100G,CHOLESTEROL_100G,CHROMIUM_100G,COCOA_100G,COPPER_100G,CREATOR,CREATOR_encoded,ECOSCORE_GRADE,ECOSCORE_GRADE_encoded,ECOSCORE_SCORE,ENERGY_100G,ENERGY_FROM_FAT_100G,ENERGY_KCAL_100G,ENERGY_KJ_100G,FAT_100G,FIBER_100G,FOLATES_100G,FOOD_GROUPS_EN,FOOD_GROUPS_EN_encoded,FRUITS_VEGETABLES_NUTS_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_FROM_INGREDIENTS_100G,GONDOIC_ACID_100G,INGREDIENTS_TAGS,INGREDIENTS_TAGS_encoded,INGREDIENTS_TEXT,INGREDIENTS_TEXT_encoded,INSOLUBLE_FIBER_100G,IODINE_100G,IRON_100G,LIGNOCERIC_ACID_100G,MAGNESIUM_100G,MALTODEXTRINS_100G,MANGANESE_100G,MONOUNSATURATED_FAT_100G,NUTRISCORE_GRADE,NUTRISCORE_GRADE_encoded,NUTRISCORE_SCORE,NUTRITION_SCORE_FR_100G,OMEGA_3_FAT_100G,OMEGA_9_FAT_100G,PALMITIC_ACID_100G,PANTOTHENIC_ACID_100G,PHOSPHORUS_100G,PH_100G,POLYOLS_100G,POLYUNSATURATED_FAT_100G,POTASSIUM_100G,PROTEINS_100G,SALT_100G,SATURATED_FAT_100G,SELENIUM_100G,SILICA_100G,SODIUM_100G,SOLUBLE_FIBER_100G,STARCH_100G,SUGARS_100G,TRACES_EN,TRACES_EN_encoded,TRANS_FAT_100G,VITAMIN_A_100G,VITAMIN_B12_100G,VITAMIN_B1_100G,VITAMIN_B2_100G,VITAMIN_B6_100G,VITAMIN_B9_100G,VITAMIN_C_100G,VITAMIN_D_100G,VITAMIN_E_100G,VITAMIN_PP_100G,ZINC_100G
PEPSI,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEGANEAMOS,0.9720930232558139,UNKNOWN,1.0,0.15503875968992248,0.4390877598152425,0.0,0.2578981302385532,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.24324324324324326,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004398826979472043,0.0,0.0,0.0,0.0004398826979472043,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGAN BASIL PESTO,"E223 - SODIUM METABISULPHITE,E270 - LACTIC ACID,E304 - FATTY ACID ESTERS OF ASCORBIC ACID,E304I - ASCORBYL PALMITATE,E330 - CITRIC ACID,E450 - DIPHOSPHATES,E471 - MONO- AND DIGLYCERIDES OF FATTY ACIDS,E570 - FATTY ACIDS",0.4673202614379085,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILIWEB,0.4325581395348837,D,0.5,0.44961240310077516,0.46304849884526555,0.0,0.2718676122931419,0.0,0.4011670313639715,0.030303030303030908,0.0,"FATS AND SAUCES,DRESSINGS AND SAUCES",0.42105263157894735,0.0,0.0,0.0,0.0,"EN:SUNFLOWER-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:VEGETABLE-OIL,EN:BASIL,EN:HERB,EN:TOFU,EN:CASHEW-NUTS,EN:NUT,EN:TREE-NUT,EN:RICE,EN:SYRUP,EN:POTATO-FLAKES,EN:VEGETABLE,EN:ROOT-VEGETABLE,EN:POTATO,EN:E270,EN:SALT,EN:PINE-NUTS,EN:SEED,EN:WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:E471,EN:E570,EN:SPICE,EN:CONDIMENT,EN:E450,EN:E223,EN:E304I,EN:E304,EN:E330",0.4375,"SUNFLOWER SEED OIL, BASIL, TOFU (WATER, SOYBEAN), CASHEW, NUTS, RICE, SYRUP, POTATO FLAKES (POTATO, MONO AND DIGLYCERIDES, A FATTY ACIDS, SPICES, DIPHOSPHATE, SODIUM METABISULPHITE, ASCORBYL PALMITATE, CITRIC ACID ), LACTIC ACID, SALT, PINE NUTS.",0.6851282051282052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0.8,0.5675675675675675,0.5675675675675675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04135649296939579,0.002598566308243656,0.07183908045977068,0.0,0.0,0.0025985663082436564,0.0,0.0,0.016666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN CURRY TIGER,"E330 - CITRIC ACID,E412 - GUAR GUM",0.7614379084967321,0.0,"EN:GLUTEN,EN:SOYBEANS",0.4693877551020408,0.0,0.0,0.0,0.0,0.0,0.0,0.00044285714285714284,0.0,0.0,0.15686274509804002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA-NDB-IMPORT,0.9627906976744186,UNKNOWN,1.0,0.15503875968992248,0.17061200923787528,0.0,0.10012515644556029,0.0,0.06006779079246608,0.05704099821746909,0.11711711711711711,"COMPOSITE FOODS,ONE-DISH MEALS",0.3421052631578947,0.0,0.0,0.035543423400368264,0.0,"EN:COCONUT-MILK,EN:FRUIT,EN:COCONUT,EN:BROCCOLI,EN:VEGETABLE,EN:CURRY-SEITAN,EN:WATER,EN:SWEET-POTATO,EN:ROOT-VEGETABLE,EN:LENTILS,EN:LEGUME,EN:CARROT,EN:BROWN-RICE,EN:RICE,EN:ONION,EN:QUINOA,EN:NON-GMO-SOY-SAUCE,EN:NON-GMO-CANOLA-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:RAPESEED-OIL,EN:CANOLA-OIL,EN:APPLE-JUICE,EN:APPLE,EN:FRUIT-JUICE,EN:SPICE,EN:CONDIMENT,EN:CANE-SUGAR,EN:ADDED-SUGAR,EN:DISACCHARIDE,EN:SUGAR,EN:RICE-BRAN-OIL,EN:VEGETABLE-OIL,EN:TURMERIC,EN:TOMATO-PUREE,EN:TOMATO,EN:BROWN-RICE-SYRUP,EN:RICE-SYRUP,EN:GINGER,EN:JALAPENO-PEPPER,EN:CHILI-PEPPER,EN:GARLIC,EN:SESAME-OIL,EN:SEA-SALT,EN:SALT,EN:CINNAMON,EN:LEMON-JUICE,EN:E412,EN:VITAL-WHEAT-GLUTEN,EN:SOY-SAUCE,EN:SAUCE,EN:CURRY,EN:SOYA-BEAN,EN:SOYA,EN:WHEAT,EN:CEREAL,EN:ALCOHOL,EN:E330",0.15061475409836067,"ORGANIC COCONUT MILK (ORGANIC COCONUTS, ORGANIC GUAR GUM), ORGANIC BROCCOLI, CURRY SEITAN (WATER, VITAL WHEAT GLUTEN, LEMON JUICE, SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT, ALCOHOL), APPLE JUICE, TOASTED SESAME OIL, ORGANIC CANE SUGAR, CURRY POWDER, BROWN RICE SYRUP, TOMATO PUREE (TOMATOES, CITRIC ACID), JALAPENO, GINGER, ONION, GARLIC, SPICES, SEA SALT, TURMERIC), WATER, SWEET POTATOES, ORGANIC LENTILS, ORGANIC CARROTS, ORGANIC BROWN RICE, ORGANIC ONIONS, ORGANIC QUINOA, NON-GMO SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT, ALCOHOL), NON-GMO CANOLA OIL, APPLE JUICE, SPICES, ORGANIC CANE SUGAR, RICE BRAN OIL, TURMERIC, TOMATO PUREE (TOMATOES, CITRIC ACID), ORGANIC BROWN RICE SYRUP, GINGER, JALAPENO PEPPER, GARLIC, TOASTED SESAME OIL, SEA SALT, CINNAMON, LEMON JUICE,",0.5138461538461538,0.0,0.0,0.0004930232558139534,0.0,0.0,0.0,0.0,0.0,A,0.2,0.16216216216216217,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09244392546100373,0.0007590132827324732,0.04732927653820172,0.0,0.0,0.0007590132827324733,0.0,0.0,0.035294117647059,,0.0,0.0,0.015294,0.0,0.0,0.0,0.000236,0.0,0.001175,0.0,0.0,0.0,0.0
BIO CHIA SAMEN,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ISSWAS,0.35348837209302325,D,0.5,0.4263565891472868,0.0,0.0,0.0,0.0,0.3402625820568928,0.5709090909090908,0.0,"CEREALS AND POTATOES,CEREALS",0.2631578947368421,0.0,0.0,0.0,0.0,DE:CHIA-SAMEN,0.014344262295081968,CHIA SAMEN,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.24324324324324326,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2630272952853598,6.451612903225807e-05,0.0,0.0,0.0,6.451612903225807e-05,0.0,0.0,0.008,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEESE ENCHILADAS,"E1400 - DEXTRIN,E160B - ANNATTO,E260 - ACETIC ACID,E330 - CITRIC ACID,E412 - GUAR GUM,E415 - XANTHAN GUM,E460 - CELLULOSE,E466 - SODIUM CARBOXY METHYL CELLULOSE,E471 - MONO- AND DIGLYCERIDES OF FATTY ACIDS",0.06862745098039216,0.0,EN:MILK,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0013571428571428571,0.0,0.0,0.18571428571429,0.0,0.0,0.0,0.0005833333333333333,0.0,0.0,0.0,VEGANEAMOS,0.9720930232558139,UNKNOWN,1.0,0.15503875968992248,0.14953810623556582,0.0,0.0878081729145532,0.0,0.04167969157028227,0.03463203463203454,0.0,,0.0,0.0,0.0,0.01848258016819148,0.0,"EN:CHEESE-ENCHILADA,EN:TOMATO-PUREE,EN:VEGETABLE,EN:TOMATO,EN:LONG-GRAIN-RICE,EN:RICE,EN:WATER,EN:MONTEREY-JACK-CHEDDAR-CHEESE-BLEND,EN:BLACK-BEANS,EN:LEGUME,EN:PINTO-BEANS,EN:AND-LESS-OF-CORN,EN:ONION,EN:ROOT-VEGETABLE,EN:RED-BELL-PEPPER,EN:BELL-PEPPER,EN:POBLANO-CHILES,EN:MODIFIED-CORN-STARCH,EN:STARCH,EN:CORN-STARCH,EN:MODIFIED-STARCH,EN:SUGAR,EN:ADDED-SUGAR,EN:DISACCHARIDE,EN:SPICE,EN:CONDIMENT,EN:GARLIC,EN:SALT,EN:JALAPENO-PEPPER,EN:CHILI-PEPPER,EN:LIME-JUICE-CONCENTRATE,EN:FRUIT,EN:FRUIT-JUICE,EN:LIME-JUICE,EN:E260,EN:GARLIC-POWDER,EN:E509,EN:CORN-TORTILLA,EN:BREAD,EN:TORTILLA,EN:CHEESE-FILLING,EN:TOMATO-CONCENTRATE,EN:IRON,EN:MINERALS,EN:E375,EN:THIAMIN-MONONITRATE,EN:THIAMIN,EN:FOLIC-ACID,EN:FOLATE,EN:MONTEREY-JACK,EN:DAIRY,EN:CHEESE,EN:CHEDDAR,EN:DISODIUM-EDTA,EN:CORN-MASA,EN:E412,EN:E471,EN:HIGH-AMYLOSE-CORNSTARCH-WITH-DEXTRIN,EN:E466,EN:PALM-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:PALM-OIL-AND-FAT,EN:NATURAL-FLAVOURING,EN:FLAVOURING,EN:CULTURED-SKIM-MILK,EN:MALTODEXTRIND,EN:WHEY,EN:MODIFIED-CELLULOSE,EN:DELACTOSED-SKIM-MILK,EN:E339,EN:E415,EN:BETA-APO8-CAROTENAL-AND-BETA-CAROTENE,EN:GREEN-CHILI-PEPPER,EN:YEAST-EXTRACT,EN:YEAST,EN:CHICKEN-BROTH,EN:POULTRY,EN:BROTH,EN:CHICKEN,EN:POULTRY-BROTH,EN:CORIANDER-LEAF,EN:HERB,EN:CORIANDER,EN:SOURED-MILK,EN:ENZYME,EN:E160B,EN:TO-PRESERVE-COLOR,EN:CORN-MASA-FLOUR,EN:LIME,EN:CITRUS-FRUIT,EN:COLOUR,EN:E330,EN:AUTOLYZED-YEAST-EXTRACT",0.11885245901639345,"CHEESE ENCHILADA (CORN TORTILLA [WATER, CORN MASA {CORN MASA FLOUR, LIME}, GUAR GUM, MONO AND DIGLYCERIDES, HIGH AMYLOSE CORNSTARCH WITH DEXTRIN, CELLULOSE GUM], CHEESE FILLING [WATER, PALM OIL, CHEDDAR CHEESE {CULTURED MILK, SALT, ENZYMES}, TOMATO, NATURAL FLAVORS, CULTURED SKIM MILK, MALTODEXTRIN, WHEY, MODIFIED FOOD STARCH, RED PEPPER, JALAPENO, SALT, MODIFIED CELLULOSE, DELACTOSED SKIM MILK, SODIUM PHOSPHATE, XANTHAN GUM, ONION, GUAR GUM, BETA-APO8'-CAROTENAL AND BETA CAROTENE {COLORS}, WATER, TOMATOES {TOMATOES, CALCIUM CHLORIDE, CITRIC ACID}, GREEN CHILE {GREEN CHILE, WATER, SALT, CITRIC ACID, CALCIUM CHLORIDE}, ONION, MODIFIED CORNSTARCH, ONION POWDER, GARLIC POWDER, CHILI PEPPERS, YEAST EXTRACT {AUTOLYZED YEAST EXTRACT, MALTODEXTRIN}, DRIED CHICKEN BROTH, CILANTRO, SALT]), TOMATO PUREE (WATER, TOMATO PASTE), COOKED ENRICHED LONG GRAIN RICE (WATER, RICE, IRON, NIACIN, THIAMIN MONONITRATE, FOLIC ACID), WATER, MONTEREY JACK CHEDDAR CHEESE BLEND (MONTEREY JACK CHEESE [CULTURED MILK, SALT, ENZYMES], CHEDDAR CHEESE [CULTURED MILK, SALT, ENZYMES, ANNATTO {COLOR}]), BLACK BEANS (WATER, BLACK BEANS), PINTO BEANS (PINTO BEANS, WATER, CALCIUM CHLORIDE, DISODIUM EDTA [TO PRESERVE COLOR]), 2% OR LESS OF CORN, ONIONS, ROASTED RED BELL PEPPER PUREE, POBLANO CHILES, MODIFIED CORNSTARCH, SUGAR, SPICES, GARLIC, SALT, JALAPENO PEPPERS, LIME JUICE CONCENTRATE, CHILI PEPPER, ACETIC ACID, GARLIC POWDER, CALCIUM CHLORIDE.",0.15282051282051282,0.0,0.0,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,B,0.4,0.2702702702702703,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05317263381779529,0.0013312852022529676,0.03284072249589483,0.0,0.0,0.0013312852022529678,0.0,0.0,0.019047619047619,,0.0,0.0,0.002142,0.0,0.0,0.0,0.0,0.0,0.0008875,0.0,0.0,0.0,0.0
MILK CHOCOLATE,"E1400 - DEXTRIN,E319 - TERTIARY-BUTYLHYDROQUINONE (TBHQ),E322 - LECITHINS,E322I - LECITHIN",0.07516339869281045,0.0,"EN:MILK,EN:PEANUTS",0.6632653061224489,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.5366,0.0,0.0,0.0,0.001,0.0,0.0,0.0,VEGANEAMOS,0.9720930232558139,UNKNOWN,1.0,0.15503875968992248,0.6486720554272517,0.0,0.3808510638297873,0.0,0.34693654266958424,0.0890909090909091,0.0,,0.0,0.0,0.0,0.0,0.0,"EN:MILK-CHOCOLATE,EN:CHOCOLATE,EN:PEANUT,EN:NUT,EN:SUGAR,EN:ADDED-SUGAR,EN:DISACCHARIDE,EN:AND-LESS-THAN-2-OF-COCOA-PROCESSED-WITH-ALKALI,EN:TAPIOCA-DEXTRIN,EN:E1400,EN:CONFECTIONER-S-GLAZE,EN:E319,EN:COCOA-BUTTER,EN:COCOA,EN:SKIMMED-MILK,EN:DAIRY,EN:MILK,EN:MILKFAT,EN:OIL-AND-FAT,EN:FAT,EN:LACTOSE,EN:SOYA-LECITHIN,EN:E322,EN:E322I,EN:NATURAL-FLAVOURING,EN:FLAVOURING,EN:LAC-RESIN,EN:TO-PRESERVE-FRESHNESS",0.27356557377049184,"MILK CHOCOLATE (SUGAR, CHOCOLATE, COCOA BUTTER, NONFAT MILK, MILKFAT, LACTOSE, SOY LECITHIN, NATURAL FLAVOR), PEANUTS, SUGAR, AND LESS THAN 2% OF COCOA PROCESSED WITH ALKALI, TAPIOCA DEXTRIN, CONFECTIONER'S GLAZE (LAC-RESIN), TBHQ (TO PRESERVE FRESHNESS).",0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,1.0,0.7837837837837838,0.7837837837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513647642679901,0.00012903225806451613,0.21034482758620687,0.0,0.0,0.00012903225806451613,0.0,0.0,0.439,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"OLD-FASHIONED 100% WHOLE GRAIN OAT CEREAL, OLD-FASHIONED",,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILIWEB,0.4325581395348837,A,0.0,0.821705426356589,0.4529445727482679,0.0,0.26595744680851063,0.0,0.06838074398249452,0.18181818181818182,0.0,"CEREALS AND POTATOES,BREAKFAST CEREALS",0.23684210526315788,0.0,0.0,0.0,0.0,"EN:WHOLE-GRAIN-OAT-FLAKES,EN:CEREAL,EN:OAT,EN:OAT-FLAKES",0.8227459016393444,WHOLE GRAIN ROLLED OATS,0.9353846153846154,0.0,0.0,0.0009302325581395349,0.0,0.0,0.0,0.0,0.07267441860465117,A,0.2,0.10810810810810811,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0005514705882352941,0.15508684863523575,0.0,0.021551724137931036,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PREMIUM PILI NUTS,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPENFOODFACTS-CONTRIBUTORS,0.6,UNKNOWN,1.0,0.15503875968992248,0.8975173210161662,0.0,0.5269503546099291,0.0,0.8315098468271335,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,"FR:NOIX-DE-PILI-GERMEES-ET-SECHEES,EN:HIMALAYAN-PINK-SALT,EN:SALT,EN:HIMALAYAN-SALT,EN:PINK-SALT",0.9139344262295083,"NOIX DE PILI GERMÉES ET SÉCHÉES, SEL ROSE DE L'HIMALAYA",0.5056410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.24324324324324326,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17369727047146402,0.0023655913978494624,0.5517241379310345,0.0,0.0,0.0023655913978494624,0.0,0.0,0.009000000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATURAL DARK CHOCOLATE WITH RASPBERRIES,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006642857142857143,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STEPHANE,0.8604651162790697,UNKNOWN,1.0,0.15503875968992248,0.5889145496535797,1.0,0.34609929078014184,0.0,0.4321663019693654,0.21090909090909088,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0009744186046511628,0.0,0.0,0.0,0.0,0.0,D,0.8,0.7027027027027027,0.7027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08660049627791565,0.0,0.4017241379310345,0.0,0.0,0.0,0.0,0.0,0.27899999999999997,"MILK,NUTS,PEANUTS",0.723756906077348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN CHIPS,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEGANEAMOS,0.9720930232558139,UNKNOWN,1.0,0.15503875968992248,0.06899538106235566,0.0,0.04052482269503546,0.0,0.39070021881838074,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.24324324324324326,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08858560794044665,0.0033163440860215056,0.06155172413793103,0.0,0.0,0.003316344086021506,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
